"Review Customer";"Sentiment"
"tidak sesuai gambar jangan percaya ama seler ini penipu kualitas jelek";"Negative"
"tolong pengiriman punya rasa tangung jawab ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah";"Negative"
"l2 r2 triger nya ampas macam";"Negative"
"jelek";"Negative"
"barang sampah ini tidak seharusnya dikirimkan ke alamat saya akan tetapi di tong sampah sangat mengecewakan admin tidak merespon sama sekali chat saya lihat barang yg dikirimkan ada dead pixel lalu layar monitornya kebalik sangat mengecewakan catatan buat temanteman yg ingin beli monitor ini tidak ada audiospeakernya kualitas layar juga kurang baik jika ada rejeki lebih belilah dengan merek yg bagus saya sangat menyesal belanja di sini saya tidak merekomendasikan belanja disini";"Negative"
"tidak jujur dan kelihatan kalau memaksakan barang terjual barang dikirim tidak sesuai pesanan dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak dengan resiko barang yg di foto ditawarkan memang sebenarnya mungkin tidak ada";"Negative"
"beli tgl 9 pesanan selesai tgl 12 danmouse rusak tgl 13 gak bisa komplain dari toped lagi admin ditanyain gmna cara klaim garansi sangat tidak membantu chat hari ini bales besokda dibales gk di jawab2 lagi";"Negative"
"gua beli dapetnya v2 di desc gada penjelasan mengenai versi bagusan v1 apalagi rgbnya rgb v2 bener bener cuma red gren blue sisa warnanya gaguna switch puler gadapet rgb redup pula nga ada pemberitahuan mengenai versi keyboardnya bener2 kecewa kapok beli da ambil ae vrtx v7 tuh bagus daripd ini kecewa mau gua jual lagi pokoknya";"Negative"
"belanja dari oficial store kondisi barang diterima seperti sampah dan barang rongsokan terima kasih";"Negative"
"ngaco banget pesen mouse tapi gak lengkap engak ada penutup batre sama bluetothnya";"Negative"
"barang emang harga aslinya sekitar 5 an tapi seler sok sok an bikin diskon yg dari 9rb di diskon 59rbolshop emang keras";"Negative"
"salah beli gabisa dituker pas di coba ternyata gabisa pas ditanya ini klaim garansi gimana yang bales malah bot tai";"Negative"
"sangat tidak puas baik produknya dan pelayananya barang cacat pada kondisi tertutup saya mejanya tidak bisa menutup rapat itu dikarenakan pemasangan engselnya tidak sejsajar 1 tingi 1 pendek ini yg menyebabkan listnya sobek karena dipaksa sat menutup daun mejanya jadi fix nya ini cacat pabrik bukan masalah pengiriman dan ternyata komplain ga diterima oleh toko penjual suruh hubungi sendiri ke kurirnya";"Negative"
"quality barang jelek baut lepas terus";"Negative"
"banyak rusak dan lecet nya";"Negative"
"barang pesan 2 yang dateng 1 bayar harga 2 yg dateng 1 terima kasih  ga ush dibuktikan cek saja pengeluaran barang nya baru cek pembeli jugan pembeli yang ditanya2 unboxing ga terlalu penting abis2in quota";"Negative"
"keyboard tidak nyala sama sekali padahal baterai baru dicoba beberapa kali tidak bisa memang lebih murah dari toko lain barang tidak bisa sama saja bohong";"Negative"
"barang rusak di kirim";"Negative"
"engak bener nih harusnya yang dateng tuh meja utuh malah baut2 gak terpasang dan baut2nya kecil banget mau dilem  ngaco nih";"Negative"
"dariver ngaco bukan tokonya barang ok itu smart namanya betidak gua kasih puas komen juga lu bintang satunya buat dariver";"Negative"
"kecewa lahgk ada penyelesaiandi chat kg di bls di wa kg di bls lari gitu aj sampah";"Negative"
"barang dikirim salah pesan webcam logitech di logitech oficial kok bs dikirimya headphone jbl dan penukaran barang butuh 4hari kerja sunguh lama";"Negative"
"bagus banget keyboardnya packing sangat aman karena double kardus warna juga keren";"Positive"
"a bagus banget pengirimanya cepat dan aman juga packaging nya bisa nyala juga tdi udh dicoba beli dgn harga rp0 senengbanget";"Positive"
"terima kasih bos mantap smoga lancar n berkah rezekinyasemangat bos";"Positive"
"barangnya buwagus sesuai pesanan angin nya kencang seperti angin puting beliung laptop adem bener";"Positive"
"mantap banget kualitas beneran sama kaya webcam sejutan";"Positive"
"sampai dengan selamat mulus dan berfungsi sempurna seler mau sabar dikonsultasikan dan mengemas dengan aman recomended";"Positive"
"proses pesanan dan pengiriman barang cukup cepat produk sesuai deskripsi seler responsif sukses dan tetap jaga protokol kesehatan ya seler terima kasih";"Positive"
"penjual ramah barangnya bagus sesuai dengan pesanan packing rapi padahal cmn pesan 1";"Positive"
"selamat siang bos pesanan sudah saya terima belum di pasang  di coba packing sangat rapi dan aman product mantap pokoknya top markotop pelayanan sangat oke toko sangat recomended sekali makasih banyak atas semuanya salam sukses sehat dan sejahtera selalu aamin";"Positive"
"recomended seler";"Positive"
"top bgt";"Positive"
"asli samsung pelayanan sangat baik";"Positive"
"mantap laptop jadi adem ga cpt panas";"Positive"
"memory sdh saya pasang ada 4 keping 8 gb dr3 semua berfungsi dengan baik pengiriman lumayan cepat recomended seler";"Positive"
"waw murah banget packingnya rapih produknya bagus keren mantap sangat uhuy pisan deh pokoknya hehehehehe";"Positive"
"mantab respon cepat pesanan tidak mengecewakan rekomended buat belanja spare part terima kasih atas kerja samanya";"Positive"
"recomended fast print fast response";"Positive"
"gilapengiriman cepet bangetdari surabaya ke bogorfast respontbarang oksesuai bangetapiacking rapirecomended seler euyma kasih engaknthanks toped";"Positive"
"barangnya sudah sampai cepet banget recomended lah tengkyu";"Positive"
"recomended seler respon cepat pengiriman cukup cepat";"Positive"
"earcupnya lembut best value headset sound mantap nyaman dan praktis tingal plug and play mantap lah buat gamer";"Positive"
"respon cepat barang original terbaik recomended packing baik sukses selalu ya";"Positive"
"kualitas suara ok banget apalagi dengan harga yang terjangkau barang pun dijamin ori karena sudah terdaftar di website razer langsung pokoknya bagus lah basnya juga kerasa";"Positive"
"1010 kualitas produk sangat baik dengan harga yang tertera nyaman dipakai suara keras dan 71 berfungsi dengan baik definitely would recomend this";"Positive"
"mantap tangap banget fast respon juos";"Positive"
"barangnya bagus banget dengan harga yang afordable dengan kualitas yang lumayan gokil sih";"Positive"
"mantap recomended keyboard ma mousenya";"Positive"
"mantab min pengiriman jam 5 sore masih di gas";"Positive"
"mantap banget kualitasnya gak usah diragukan lagi";"Positive"
"cakep produk nya rekomen banget nih sesuai deskripsi";"Positive"
"packing rapih fast response dan rgbnya juga bagus sangat di rekomendasikan 1010";"Positive"
"as always gapernah gagal belanja sini thanks gs";"Positive"
"cakep bet dah mau duduk saja di kursi ini sampe ga mau berdiri lagi rasanya";"Positive"
"overal memuaskan layar bagus walau menurut saya ipsnya ga sebagus ips tv warna sudah bagus ga oversaturated brightnes sangat terang buat di pakai dalam gelap tetap silau biar brightnes sudah 0 layar bisa di putar cm di kaki saja gampang kedorong refresh rate terbukti cepat buat fps sudah mantab kalau asa softwarenya mungkin lebih bagus lagi jadi seting ga perlu lewat tombol di belakang dpt kabel display port desain keren hampir bezeles nice";"Positive"
"love it product bagus worth it thank you";"Positive"
"airo ini punya customer service yang super duper bagus kapanpun saya punya pertanyan mereka selalu jawab dengan okey produknya pun bagus puas banget love airo";"Positive"
"barangnya mantap berkualitas kokoh bergaransi seler ramah pokoknya mantap banget";"Positive"
"layanan sangat memuaskan seler rekomended";"Positive"
"luar biasa packing di jamin aman pakai bublewrap cepet banget prosesnya senin malam cekout paginya kirim hari ini rabu sore sampai sangat cepat sangat puas teriterima kasih sukses selalu yah tech cube";"Positive"
"mantap sekali sangat recomended respon seler bintang 5 baru pesan tadi malam hari ini langsung datang";"Positive"
"bahan dari plastik dan tidak kuat juga buat menopang laptopini sih kuatnya buat tablet gais lebih baik jangan beli yang ini";"Negative"
"barang ga pernah sampe katanya dikirim nyusul tapi ditanya no resi ga dikasih2";"Negative"
"engak bisa di gunakan ini gimana";"Negative"
"saran saja buat temen temen yang beli disini  jangan buang box nya simpan terus biar kalo baru beli terus rusak bisa di claim garansinya";"Negative"
"packaging gk aman banget buble wrap tipis alhasil kemasan barang agak penyok pas dateng thank god barangnya aman ini oficial store seharusnya lebih baik lagi fix min next duh";"Negative"
"biarkan gambar bercerita pesan 20 bh yg rusak 10 bh jugan percaya balasan pembelan apapun dari seler tidak amanah alasan rusak expedisi padahal bisa dilihat sebagian letak cacat 10  bukan dari expedisi dan sebagian yg lain kalaupun dari expedisi ceroboh itu karena packingan tanpa kardus per satuanya dan buble juga tipis sekali lewat seadanya tanpa tempelan fragile padahal sudah pesan buble dan kardus tambahan seler berusaha dilimpahkan biar diganti asuransi untung sudah diviseo unboxing dan ditolak juga dari expedisi saya tidak pernah cerita panjang lebar di ulasan tapi berhubung demi kenyamanan buyer lain utk jadi pertimbangan bacalah ini waspadalah waspadalah tidak ada itikad baik berusaha lepas tangan bahaya bisa rusak tokopedia kalau banyak seler begini sudah dikasih note sewaktu proses dan sudah juga dichat dulu sebelum kirim utk hati hati karena mau utk dijual lagi sudah ajukan resolusi pengambalian dana ke tokopedia tapi dialihkan ke asuransi utk akhirnya tetap tokopeda refund dana trims admin";"Negative"
"seharusnya chat dijadikan makesure barang warna dl jugan kaku kaku banget jadi roko";"Negative"
"barang diterima dalam kondisi rusak juga di alami beberapa pembeli lain complain di reject oleh seler tapi tokopedia menengahi dan bisa retur tapi sayangnya saya dalam situasi tidak msudah mengirim barang jadi apa boleh buat sangat tidak recomend beli di toko yang cenderung tidak amanah";"Negative"
"ampun dah ini packing terasal yg pernah gua terima ini klu patah gimana awas saja isinya rusak pas gua pake ya";"Negative"
"produk ini chip di dalamnya didaur ulang dan dipasang kembali setelah mengiling katakata aslinya pembeli harap perhatikan temanteman tolong beri perhatian khusus";"Negative"
"ini toko korupga sesuai sama isinyanot recomended";"Negative"
"isi paket via link saja yg di rekomendasikan saja selalu gagalvia ovomandiri sampe bca saja selalu gagalagia siap sayastem nya jangan jualan";"Negative"
"nope kalau kepikiran mau beli saran saya jangan product sering rto gajelas cs after sales service yg buruk dijamin pengalaman kalian akan kecewa";"Negative"
"pelayanan buruk pengiriman lama dan respon yang lama jangan beli barang disini kalo ga mau kecewa cukup sekali ini saja";"Negative"
"sama sekali gk bisa dpake asli nyesel";"Negative"
"produk yg dikirim awal tidak dapat berfungsi dengan semestinya meskipun sdh dikirimkan lagi produk lainya selain itu seler sangat tidak layak menjadi oficial store pengiriman barang tidak sesuai dengan jadwal yang dijanjikan di deskripsisistem tokped selain itu sangat slow response seler ini not recomended";"Negative"
"respon celernya setengah mati nunguinpengiriman nungu berhari hari padahal pake pengiriman instan dah bayar ongkir mahal celer sama pembeli tingla di jakarta utara g arekomen buat pembeli lagi cari yang laindari pada emosi nunguin";"Negative"
"parah prosesnya lama banget semoga ini bisa jadi pelsajaram buat team logitech";"Negative"
"harga sih promo 1790 saya pake gojek instant lebih mahal ongkirnya daripd barangnya karena mau dipake cepet pas nyampe eh ternyata sudah patah sebelah standnya kecewa sih karna kalo jual promo ada cacat ya di catet gitu biar customer ga beli barang promo kalo tau ada cacatnya seler si oke buat tuker barang tapi sudah ga efektif saja saya mau pake cepet juga jadi ga bisa di retur juga ongkir lebih mahal lagi dari kualitas barangnya  mengecewakan deh pokonya kapok beli disini";"Negative"
"hati2 ternyata di foto display adalah varian yg ada bonus harga berbeda";"Negative"
"estimasi proses pesanan 23 hari bung ini online platform kalo ga siap cepet menuhin customer secara online jualan ofline saja customer beli online buat dipake segera dan kalau ada delayproses apalah itu ditulis di deskripsi produk ini customer nanya dulu baru dinfo proses pemesanan 23 hari itu juga ga ada efeknya ke kemasan cuma dibungkus buble wrap tipis ga kebayang kalo customer ada yg apes barangnya dilempar2 jadi ancur isinya dan jangan pernah janjin ke customer barang akan dipickupantar sat wekend karena kalian saja libur sabtumingu";"Negative"
"pesan tangal 2 maret jam 9 pakai pengiriman instant sampai nya tangal 3 maret padahal sudah bayar mahal dikirimnya kesokan harinya bukan salah pengantarnya dariver gosend nya sudah mengantarkan paket dengan baik tapi durasi proses dari toko sangat lama padahal butuhnya tangal 2 maret makanya saya pilih pengiriman instant saya juga sudah tanya pihak toko jika paket bisa dikirim hari itu juga atau tidak jawabanya bisa tapi kenyatanya paket saya tidak dikirim pada hari itu juga kalau tidak bisa dikirim hari itu juga ya bilang saya juga sudah ajukan cancel pesanan juga tidak ada respon dari penjual pelayanan sangat sangat buruk tidak recomended semoga lebih baik lagi kedepanya";"Negative"
"barang ternyata palsu";"Negative"
"ga jelas info bohong yang bikin pengalaman tidak menyenangkan kalo mau beli produk dbe cari toko laen yang ini tipu tipu headphone dateng dengan keadan bikin kuping sakit";"Negative"
"rgb mati dari awal datang  penjual gak respon barang gak lulus qc sepertinya yg dijual hati hati kalau beli";"Negative"
"hati2 belanja disini dapet unit cacat dblagi suruh ajukan komplain nti mau dituker trnyta tokonya sndiri yg blagi gabs dituker oficial store abal2 ini mah ga jelas solusinya gmn";"Negative"
"pelayanan toko sangat buruk saya order laptop disini dan setelah barangnya sampai laptop nya ga mau nyala habis itu saya berusaha minta solusi dari seler awalnya seler masih mau respon seadanya  tidak menawarkan solusi dan sangat lamban lalu karena mikir respondnya lama banget terpaksa saya ajukan komplain  tapi setelah di komplain seler ga pernah jawab diskusi ataupun respon kendalanya saya dicuekin selama 8 hari sampai jangka waktu habis dan dana di refund kalau ada yg baca ulasan saya saya anjurkan utk order di toko lain jangan tergoda sama title oficial store nyata nya pelayanan toko ga lebih baik dari merchant biasa harga juga ga lebih murah";"Negative"
"pengiriman laptop dari toko tidak dicek dahulu laptop yg dikasih ke pembeli layar pecah kerdus rusak padahal packingan tidak ada yg rusak menghabiskan waktu saja buat klaim ke tokpedia bermingu mingu baru berhasil klaim ke pihak asuransi ternyata toko yg sudah verified tidak menjamin pelayanan toko ini buruk respon cepat sat awal beli saja sat dikomplen sangat lama mengulur2 waktu tidak mau tangung jawab padahal jelas komplainan langsung dihari berikutny setelah paket dibuka yg seharusny bisa langsung tuker unit langsung dari toko trus apa gunany ditulis di deskripsi engakransi toko 3 hari  cukup terakhir beli disini thanks";"Negative"
"jangan mau beli di sini cek review penjualan nya banyak yg rusak di kirim saya korban juga cek foto barang yang saya order supaya yang lain tidak jadi korban kacau toko ini menjual barang rusak";"Negative"
"meja laptopnya begitu dibuka kardusnya sudah pecah diujungnya dan ada retak juga dibagian bawah trus mejanya juga hijau kusam seperti barang bekas pakai seler dikomplain menolak penukaran barang dengan alasan buktinya kurang malah diarahkan utk mengunakan asuransi dari tokopedia dengan proses yg ribet harus ada bukti pemusnahan barang juga pas saya lihat lagi ulasan2 ternyata banyak juga yg dapet mejanya pecah dan rusak dan mereka semua pada kecewa saran kalau jualan yg jujur kl memang yg dijual barang bekas atau ex display bilang saja tulis di deskripsi yg jujur tolong tokopedia lebih selektif terhadap toko yg seperti ini packing barang juga terkesan asal2an cuma pakai kardus tipis saja ga pakai buble wrap sama sekali semoga ga ada lagi customer yg tertipu seperti saya";"Negative"
"tolong di cek sebelum dikirim ya khususnya sd";"Negative"
"barang baru datang pertma saya coba di samsung a52 bisa terbacabaru saya pasang di ctv ternyta ga bisapenasran saya coba di samsung m30 juga ga bisapensran lagi saya coba di opo a15 ternyta ga bisa jugamasih pensran saya coba lagi disamsung a52 ternyta dh ga bisaseumur umur baru ini saya kasih bintang 1klaim garansi ternyta ribet jugakapok saya belnja di apliksi ini maupun toko inimasih enkn tko seblahkomplain kepenjual disurh komplain ke topedkomplain toped disurh komplain dulu gimna baiknuy sama penjualhadehpok kapok saya";"Negative"
"sebelum mempercayakan penyimpanan data kalian  mending pikir dulu deh  saya baru pakai belum 2 mingu  kartu langsung tidak terbaca lagi  mana ada data yg tidak bsa di selamatkan  dan proses garansinya saja pake estimasi sebulan  yap sebulan  mending beli yg pasti saja  merk baru blum tentu terjamin kualitasnya  be careful and kep healthy  terima kasih";"Negative"
"sangat kecewa sekali produk kakinya goyang tidak rata oglek2 hati2 jika membeli warna putih karena tidak sesuai difoto produk barang yg sampai warna coklat tapi penjual ngotot meja yg diterima saya itu warna putih sesuai foto dan tidak mau menerima komplain saya lihat review beberapa pembeli lainya juga mengalami hal yg sama seperti saya dikirimkan warna berbeda dari yang dipesan walaupun saya sudah bertanya dulu di msg memastikan sebelum membeli dan menulis pesan sewaktu order percuma saja";"Negative"
"baru pake 3 hari sudah berulah susah hidup kadang hang freze blank sat lagi on komputer minta di ganti gk di respon terus buat apa embel2 garansi lifetime not recomended";"Negative"
"ramnya gabisa di pakai walau sudah minta tuker 2x giliran dimintain refund susah banget jangan mau beli disini pokoknya ga recomend banget hati hati sama ram palsu";"Negative"
"suara kecil sebelah ini produk bermasalah kaulitas kontrolnya engak rekomen";"Negative"
"laptop rusak pas di aktifkan fan eror setelah di perbaiki ternyata keyboardnya rusak setelah ganti keyboardnya ternyata adaptornya rusak jangan belanja disini";"Negative"
"dikirim dengan cepat untuk wilayar jaksel langsung dipakai den befungsi dengan baik recomended seler";"Positive"
"barang sesuai deskripsi recomended high quality product seler packaging ok";"Positive"
"pesanan dah sampai barangnya original  barangnya mulus warna sesuai pesanan proses pesanan cepat packaging rapi packaging aman  bisa fast charging kurir juga cepat trims ya";"Positive"
"pemrosesan serta pengiriman produk cepat padahal bukan di daerah jabodetabek produk diterima dengan sempurna 3 buah micro usb data cable kualitas premium dan ada bonus kartu perdana smartfren trims";"Positive"
"bagus kabelnya cepet buat ngecas joz";"Positive"
"barangnya original hemat listrik bahan kuat  awet mutu terjamin sni penjualnya ramah banget packaging aman proses pesanan cepat engakmpang dipakai";"Positive"
"trnyata tangal merah tetap melayani pengirimandan benar lngsung dikirimkan by instant kurirpelayanan dan respon nya juarasemoga awet dan fungsional";"Positive"
"alhamdulilah barang sesuai pesanan suaranya jelas ukuranya pas bisa dipanjangkan kabel tidak msudah putus mengunakan kabel yg lebar";"Positive"
"seler ramah banget fast respons menjawab pertanyan buyer jadi buyer paham benar produk yg akan dibeli pengiriman cepat yg terpenting produknya bagus banget berfungsi normal bisa atur semua warna termasuk rgb sat bermain dan putih sat bekerja warna putih menyala terang gampang conect ke wifi dan diatur di handphone aplikasi msudah digunakan memang ga salah pilih bardi yeay skrg kamar ada lampu rgb nya suka banget sama ambience nya";"Positive"
"engakmpang dirakit desain elegan penjualnya ramah banget";"Positive"
"paket sudah diterima dalam kondisi aman lengkap dan tanpa cacat packing rapi dan aman pake bublewrap berfungsi normal ori masih segel dan harga bersahabat seler ok recomanded";"Positive"
