"Review";"Sentiment"
"bagus barangnya terima dengan baik paking baik cepet kirim asli original terima kasih";2
"ini yg ke 2 x pake zen book yg ini bisa connect dg hp dan model scan qr code";2
"kualitas barang ori pokoknya puas polllll";2
"mantap aman";2
"harga memang sebanding dengan kualitas top bgt";2
"sesuai dan kokoh hanya pengiriman sempat macet 1 hari";2
"barang sesuai deskripsi dan original seler ramah dan fast respon";2
"respon cepat dan ramah barang diterima dgn mulus dan ori tentunya";2
"top seller";2
"so far aman semua semoga awet";2
"fast servicegood product";2
"mantap";2
"gak rugi deh sangat whorth it dengan hrganya apalagi dapat voucher ramadhan tambah murah lagi terimakasih asus";2
"pelayanan ramah pengiriman cepat bonusnya juga bagus mantap";2
"sesuai diskripsi packing rapi dan sangat baik aman produk berkualitas langsung cuan";2
"sesuai diskripsi packing sangat aman produk sudah pasti bagus cuanlah";2
"packing bagus box aman seller responsif pengiriman cepat";2
"terimakasi unit di terima dengan baik dan benar
paking rapih aman tanpa peok";2
"pengiriman cpt brg sesuai deskripsi";2
"barang ok banget dan dapat bonus ear wireless seller sangat responsif";2
"asus vivobook memang mantap";2
"keren sampao dengan selamat barang oke banget ramah penjualanya dibales terus tanya tanya banyak";2
"mantapppp";2
"mantul alias mantab betul belanja di toko ini respon cepat pengiriman ajib barang pesanan sesuai pada lapak yg ditampilkan kalo gini ga bakal berpaling dehhh ke toko";2
"mantap barang dikirim dengan cepat pengemasan paket sangat baik ada bubble wrap ada dus luar tambahan";2
"pembelian ke 2 tidak mengecewakan
produk original pengiriman cepat  aman kurir responsif";2
"barang bagus banget aman sampai ke tujuan dengan selamat seller ramah fast respon terbaik pokonya";2
"pengemasan rapih pengiriman cepat kualitas barang bagus";2
"pelayanan cepat dan tat waktu";2
"keren pokoknya barang bagus admin gercep gak rugi lah harga berkualitas terima kasih";2
"pakingnya bagus laptop sampai dengan aman";2
"laptopnya sampai dengan aman";2
"alhamdulillah sudah datang dab digunakan semoga awet aamiin";2
"pengiriman cepat sekali barang masih dalam duss dan tersegel karena mau dijual kembali promonya mantab";2
"semoga awet dan sesuai kebutuhan
sekilas barang terlihat mantap dan cukup puas dengan first impressionnya seller juga responsif";2
"mantap berfungsi dengan baik";2
"sesuai dengan deskripsi bonus lengkap tas dan mouse";2
"oke";2
"admin sangat responsif dalam membantu";2
"barang datang dengan selamat saya senang dong berfungsi dengan baik baiknya lagi barang mantullll";2
"keren banget laptopnya cs nya juga very helpful";2
"barang sudah diterima dengan sangat baikterima kasih boslancar dan sukses selalu jualannya";2
"alhamdulillah barang sampe dgn selamat dan installation nya jg dipandu dgn aabar";2
"pengiriman cepat fast respon unit sesuai pengemasan unit 3 lapis dan pakai buble wrap terpercaya";2
"barang sesuai dan diterima dengan baik sudah dicek dan tidak ad masalah";2
"awalnya takut beli di online tapi akhirnya datang dengan selamat dan amanah";2
"sesuai penjelasan cepat aman kualitas bagus";2
"sangat memuaskan packingnya aman";2
"sangat memuaskan barang sampai dengan aman tanpa cacat dan rusak sedikit pun terima kasih asus next bakal beli lagi di sini";2
"seller sangat komunimatif fast response
pengiriman cepat
barang bagus";2
"mantap  barang sesuai pesanan seller ramah overall laptopnya sangat bagus";2
"barang yang dibeli sesuai packing rapi seller responsif";2
"mantap barang datang dengan aman
tidak ada lecet";2
"pertama kalinya beli laptop online dan langsung puas aman sampai rumah";2
"barang terkirim dengan baik dan aman packingannya luar biasa berlapis oke bgtt laptop udah dicoba dan berfungsi dengan baik body laptop dalam keadaan baik pakai yang";2
"barang ok pengiriman cepat terima kasih";2
"mantap terpercaya dan sangat komunikatif sellernya";2
"sejauh ini bagus sih desain keren dan elegan lumayan cepet untuk sekedar digunakan untuk kerjaan masih proses coba game";2
"asus vivobook sudah diterima dengan baik packing bagus rapih dan aman barang terproteksi dengan baik ada bonus wave 13 true wireless dan tas back pack asus laptop sud";2
"sudah dites hasil ok
pengiriman juga cepat";2
"packing rapi pengiriman cepat produk original penjual ramah  fast respons";2
"pelayanan puas barang oke sesuai deskripsi pengiriman juga cepat terima kasih asus";2
"alhamdulillah barang dan perlengkapannya ada semua sampai dengan aman sesuai dengan pesanan bahkan dapat tambahan gratis mouse laptop berfungsi dengan baik tidak ada ke";2
"barang datang sesuai";2
"mantaaappp
semoga awet";2
"paket sampai tanpa cacat
test fungsi ok";2
"pengiriman aman dengan peking kayu respon seller cepat barang yg saya trima sesuai dgn gbr harga lebih murah ini pembelian utk ke 3 kalinya thanks asus";2
"barang sampai denhan aman";2
"terima kasih paket sudah diterima dengan baik barangnya sudah sesuai semoga awet dan bermanfaat anaknya suka banget";2
"barang original asus  garansi resmi asus 2tahun  packing aman recomended seller";2
"sesuai pesanan";2
"pelayanan admin nya memuaskan";2
"laptop seperti deskripsi di yoko berikut free giftnya packing juga double sehingga aman puas berbelanja disini";2
"mantap min bekerja secara maksimal";2
"penjual responsif dan komunikatif packaging aman pakai asuransi barang original dapat harga diskon";2
"paket sudah sampai barang bagus";2
"barang bagus packing super aman pake kayu pokoknya mantap 
minus di pengiriman saja agak lambat";2
"secara fisik oke layar oke semoga lancar juga windows dan lain sebelumnya sudah sering beli jadi bagus2 saja";2
"joss laptop aman  dapat free tws jugaa";2
"proses cepat dan laptop diterima dengan sangat baik";2
"toko amanah datang sesuai pesanan";2
"mantaaap sesuai pesanan";2
"barang nya sampai dengan aman dan sesuai ori terimakasih";2
"barang sampai dengan aman dan sesuai terimakasih";2
"mantap sesuai deskripsi dan berfungsi semua dan fast respon admin nya";2
"bagus packingnya profi barang sesuai pesanan seller response baik";2
"pengiriman cepat keadaan barang ok";2
"bagus sesuai dan amanah sudha pesan dsni beberapa kali dan untuk tipe ini bberpa kali selalu lancar";2
"alhamdulillah laptop pesanan cepat sampai unboxing tanpa cacat di charge dan running semuanya welldone tk puas semoga awet";2
"produk sesuai diskon besar respon penjual baik";2
"mantap cepat kirim dan berfungsi baik recom seller";2
"barang sesuai dengan pesanan";2
"mantapun";2
"produk seseui diskripsi  pelayanan toko sangat cepat";2
"packing nya nyaman pengiriman cepat kualitas sangat ok thanks";2
"packing rapih order sesuairecomended seller";2
"agak kaget kirain pilih proteksi pengiriman yg mahal bakal pake kayu packing nya ternyata gak tapi alhamdulillah di cek aman barang tidak lecet dan sesuai";2
"kualitas barang ok admin cepat tanggap pengiriman cepat top deh";2
"barang sesuai pengiriman mantap";2
"kerenn euy pengiriman okee harga okee kualitas okee sih dijamin orii euy";2
"toko resmi harga resmi packing aman terima kasih";2
"sesuai respon cepat pengiriman instan nya jugaa cepat banget pakcingan sangat aman admin nya juga fast respon untuk pengaktifan windows dan ms office mantap";2
"puas";2
"barang bagus";2
"barang okeee banget ori";2
"mantapsudah tersedia wifi win 11 ohs 2024 pengiriman cepat bonus tws";2
"mantul os berjalan lancar
laptopnya ringan sehinggs enak dibawa2 mobilitas";2
"mantap sekali  sesuai expectasi  terima kasih";2
"barang dan pelayanan bagus";2
"barangnya sapai dgn selamat dan aman pengirimannyaa juga cepet bntr cmn 3 hari aja ke luar pulau jawa laptopnya aman gak ada kendalaa sedikit pun lumayan bngt dpt harg";2
"pengemasan aman barang oke sesuai deskripsi aktivasi mudah sip dah";2
"recommend sellerproducts sesuai packaging aman dan cepat";2
"barang bagus mulus gak ada dent normal";2
"mantapppppppp packingnya";2
"bagus asli jaminan mutu pokoknya";2
"barang nyampe penjual gercep fast respon no drama lagi dicoba coba utk fiturnya";2
"setelah di unboxing mantep warna oke banget semoga awet deh";2
"barang sampai mesan dari plosok madura packing kayu rapih barang aman mulus";2
"admin fast response proses cepat dan barang aman
semoga awet ini laptop kece";2
"pertama kali beli disini pertama dari packing dulu packing tebel dan berlapis lapis jadi aman untuk barangnya sendiri sesuai pesanan dan tidak ada kekurangan atau ca";2
"baguss cocok buat pemakaian cewek bismillah worth for investment";2
"barang sesuai";2
"laptop yang dikirim sangat sesuai dengan spesifikasi yang tertera di deskripsi pelayanan sangat baik dan ramah untuk membantu saya menentukan produk yang terbaik";2
"mantapberjalan normal";2
"mantap dan lacar jaya pengirimannya sudah include w11 home dan ohs 2021 sebaiknya ohs diaktifkan  paling akhir setelah smua proses instal selesai mengaktifkannya dg ak";2
"good no lecet lecet semuanya bagus gada yg minus";2
"bugus bgt laptop ini free mouse pen dan tas pengiriman instan cepat packing rapi dan safe sudah 2x beli laptop di asus official store tidak pernah mengecewakan te";2
"barangnya bagus ringan dan tokonya responsif";2
"barang nya best bgt thanks asus semoga awet yak";2
"barang nya best bgt thanks asus semoga awet ya";2
"produk asli dan bagus";2
"bagus cepat respon kondisi baik dan good seller";2
"barangnya sesuai dan bagus packing rapih banget";2
"paket sdh diterima packing sangat aman pengiriman gercep produk bagus spesifikasi sesuai order mantap terimakasih";2
"alhamdulillah bagus dan aman puas terima kasih";2
"produk sesuai dengan deskripsi isi paket lengkap stylus pen dan tas ransel   masih segel dan berfungsi degan baik";2
"laptop ori dan packing aman sampai papua selatan";2
"oke banget pengiriman cepat pake instan barang diterima dengan baik laptop lancar tanpa kendala";2
"oh iya maaf kasih baru ulasanalhamdulillah laptop jya sdh sampai penjual respon nya bagus pengiriman cepat semoga laptop nya awet";2
"packing rapi barang mantap  original instalasi mudah hanya kurirnya agak sedikit bermasalah tapi akhirnya sudah selesai";2
"diluar expektasi pengiriman dan respon seller cepat
untuk laptopnya sendiri super kencang utk level laptop tipis dan baterainya awet buat seharian kerja";2
"baru saya unboxing ternyata vivobook wow desig nya dari 2014 akhirnya ganti laptop baru terimakasih asus official store";2
"good sesuai deskripsi";2
"kondisi sesuai dan bagus tidak ada kendala pengiriman cepat";2
"sesuai deskripsi packing rapi barang sampai dengan selamat terima kasih";2
"bagussss sesuai pesanan";2
"respon dan pengiriman cepat 
barang beroperasi dengan lancar";2
"respon cepat pengiriman cepat kualitas mantap";2
"admin responsif kiriman aman  cepat 
makasih banyak ya kak";2
"admin responsif produk baik";2
"laptopnya bagus pelayanan penjual cepat dan ramah recommemded seller";2
"keren laptop nya 
pengiriman cepat respon seller okey bgt
mudahan awet 
bonus tas sama mouse";2
"mantap seller the best";2
"toko ini sangat recommended sekali admin nya sangat ramah sangat fast respon dan m selalu memberi solusi setiap masalah  sempat barang yg datang ada kendala dan saya";2
"barangnya bagus gan sellernya juga sabar sekali buat bantuin aktifasinya recommended";2
"packing kayunya jg dibungkus buble jadi tampak rapih
terima kasih";2
"pesanan sdh diterima dgn baik dan utuh

packingan kuat dan rapih
cs ramah dan cepat respon
recommended banget belanja di toko ini

terima kasih";2
"sudah diterima cs responsif semoga awet terima kasih";2
"packing kayu aman dan kokoh dilapisi buble juga";2
"terima kasih sudah sampai";2
"ringan desain bagus kondisi baru mantap";2
"barang sudah terima dengan baik dan dalam kondisi baik saran saya packing kurang safety karena tidak dilengkapi sama plastik safety bubble wrapping";2
"ringan compact dibawa2 minus nya utk respon time agak lama sdikit";2
"mantapp bagus";2
"merupakan seller yang paling awesome responsif bgt kualitas barang sangat memuaskan recommended kalian beli di toko ini sumpah mutu n kepuasan pembeli sangat di prio";2
"terima kasih asus sudah mwngupayakan laptop saya nyampe dgn cepat 

admin nya ramah sangat helpfull dan barang pesanan baru as description mantepp";2
"barang dalam kondisi baik dan lancar terimaksih seller";2
"mantap barang dikirim sesuai deskripsi dan pesanan pengiriman aman  cepat thanks bonusannya";2
"laptop ori mantap dan berkualitas puas banget";2
"seller baik dan ramah barang mantab";2
"respon cepat ramah dan memandu banget csnya enak untuk tanya  pengiriman cepat packing aman barang aman dan sesuai pesananmantap tks";2
"barang sesuai serta pengiriman aman dan cepat";2
"alhamdulillah sesuai pesanan semoga awet barokah aaamiiin";2
"mantap puas untuk mengerjakan tugas2 sekolah semoga awet sampe kuliah nanti bismillah mohon doanya";2
"respon penjual sangat baik tanya soal produk di jelaskan secara rinci packing aman barang sesuai deskripsi terima kasih";2
"paket diterima pengiriman cepat dan aman kondisi baik jumlah dan spec sesuai bonus juga dapet terimakasih banyak";2
"packing amanbarang oksemoga awet gak ada masalah";2
"barang mendarat dengan aman packing rapih ga ada cacat brrfungsi dengan baik pengiriman nya juga cepet";2
"pelayanan mantap staf ramah memandu sesuai petunjuk  mantappppp";2
"mantap dan berfungsi dengan baik dan normal";2
"barang sesuai bagus pengiriman cepat packing aman";2
"secara fisik brg amanlagi dicobasemoga berfungsi dgn baik dan membawa berkah utk pekerjaan saya dan toko penjual";2
"packing kayu rapibarang amanvideo terlalu besar";2
"produk mantap sesuai pesanan dipacking aman dengan double dus sangat rekomendasi thanks seller";2
"alhamdulillah barang sampai dengan baik tanpa kerusakan spesifikasi ok bgt bagi pelajar";2
"ringan stylish dan tetap powerful pengalaman arcgis 10 selama 3 tahun sangat puas dengan performa dan kenyamanannya nambah lagi 2 unit";2
"barang bagus 
sesuai dengan pesanan 
dapat tas dan mousenya";2
"barang sudah diterima dalam kondisi baik packing rapih dan aman kondisi dus masih tersegel asesoris lengkap sesuai dengan promo sudah ditest dan berjalan dengan baik";2
"respon cepat barang sesuai pesanan kualitas terjaga semoga tambah sukses";2
"packing rapih barang sesuai tapi sayang gak ada info klo tidak ada pengiriman di hari weekend jadi harus nunggu sampai senin baru dikirim";2
"barang sesuai deskripsi  system semua aman walau ga packing kayu barang tetap aman sampai tujuan thanks";2
"bagus cocok di aku dan enak dipakai warnanya ok dan bagus";2
"benar2 responsif dan membantu sekali sangat puas belanja di sini kalau butuh laptop pasti akan beli asus lagi  sukses terus asus";2
"admin gercep layanan mantul keren banget puas sudah berbelanja disini";2
"baru pertama beli langsung di official onlinenya semoga awet dan tahan lama";2
"keren kokoh";2
"mantap sesuai spek pengiriman cepat josslah";2
"mantab betul baterai lumayan awet speaker renyah keyboard nyaman dipake dan adminnya juga supportive banget";2
"barang masih tersegel works well dapet bonus pula terima kasih seller top";2
"terima kasih paket nya om kmren sampai baru hr ini di komfirmasi";2
"terimakasihbarang berfungsi dengan baik pengriman aman dn cepat";2
"overall baik";2
"alhamdulillah barang bnr baru
pengiriman cepat jg


admin fast respon sabar n telaten ngejelasin 

semoga awet 

semoga sukses";2
"very happy with this laptop  battery life is pretty good specs and oled display make the experience very smooth and pleasant ws office was activated with no issues my";2
"recomended barang sesuai spek paket aman seller ramah";2
"kualitas ori respon penjual ramah dan sesuai pesanan";2
"barang bagus dan ori semoga awet";2
"barang jadi aman";2
"halaman penjualan informatif menerangkan secara detail spesifikasi barang nya seller nya juga ramah informatif dan solutif pengiriman aman walaupun instan barang tid";2
"barang oke dan sesuai deskripsi";2
"mantap jaya tambah ram jadi 16gb langsung dari asus ada bonus mouse wireless dan tws philips";2
"alhamdulillah barangnya sudah diterima dengan baik dan fiturnya juga berfungsi ukuran laptopnya pas untuk traveling dan battery bisa tahan  4 jam dengan pemakaian no";2
"good";2
"barang diterima dengan baik dan lengkap warna green grey cantik banget 
pengiriman cepet banget adminnya juga fast respon dan sangat ramah untuk aktivasi windows 11";2
"barang diterima aman lengkap dan bisa digunakan laptop rekom dibeli kalo uang cukup ingat jangan memaksakan diri kalo uang kurang bonusnya dapet mouse fantech go dan";2
"kokoh melindungi";2
"barang sampai dengan selamat produk lengkap dan sesuai dengan picture";2
"bagus dan sesuai deskripsi penjual responsif suwon";2
"barangnya lengkap berkualitas";2
"desain mewah terlalu ngebut dipake kerja cpu cuma kepake rata kurang dari 30 untuk yang suka pake aplikasi tahun 2024 keatas apalagi aplikasi bajakan disarank";2
"tiba dengan aman";2
"keren";2
"lumayan untuk pelajar";2
"setelah dipakai kerja terasa performa yang mantap dan optimal luar biasa desainnya juga simple dan keren";2
"barang bagus sesuai dan lengkap sesuai deskripsi 
hanya saja proses dr pihak asus nya telat sehari

tp gpp masih bisa ditoleransi";2
"packingnya bagus dan rapih";2
"respon cepat barang juga cepat sampai aman selama perjalanan spek dan bonus sesuai sudah dicoba dan lancar terima kasih";2
"keren banget dpt diskon gede fiturnya oke banget ukurannya jg pas";2
"mantab

recomended seller

fast respon

sellernya baik bangett

semoga rejeki lancar gannnn

ditambah bonus lg

gassssssssssssssssssssssssssssssssssssss";2
"paket aman model laptop kekinian spek sesuai deskripsi packing aman pakai buble wrap 
seller ramah";2
"sesuaiiiii sipp";2
"keren enak untuk dibawa2 recomended baik barang atau seller";2
"kualitas mantab dapat bonus dapat diskon barang baru gress";2
"dikemas sangat baik dan aman semoga laptop nya awet terima kasih kakak";2
"mantap  bagussekali original sesuai deskripsi goodjob";2
"oke bagus dan kemaren beli lg discount";2
"kirim cepat packaging rapih barang bagus";2
"seller responsif pelayanan bagus sekali packaging aman recommended";2
"barang sesuai deskripsi kualitas bagus 
pengiriman cepat";2
"cuma bisa pilih 1 video aja
barang kondisi mulus mesin normal tanpa kendala  
semoga awet  lancar jaya terus buat seller ama tokonya  
haturnuhun";2
"seller melayani dengan mantap memastikan psu cukup utk rtx 3070 kondisi gpu baik sekali dan tanpa ada cacat ataupun masalah dipasang langsung jos temperatur masih terkendali tidak perlu repasting sangat memuaskan";2
"seller komunikatif fast response barang orimantappokoknyamakasih ya seller berkah usahanya";2
"sangat bagus sesui dengan pesanan";2
"okeh mantappp
recommended seller";2
"sesuai pesananpacking amanpengiriman cepat cuman blm d cek krn buat d jual lagi";2
"barang ok new original";2
"keren suaranya pelayanan juga oke banget minta kirim lebih cepet dikirim langsung dalam 2 hari the bestt";2
"qualitas barang  
pengiriman brg  
respond admin";2
"original puas resmi terbaeekkkkkkkoriginal puas resmi terbaeekkkkkkkoriginal puas resmi terbaeekkkkkkkoriginal puas resmi terbaeekkkkkkkoriginal puas resmi terbaeekkkkkkk";2
"microwave bekerja sempurna 
terimakasih samsung";2
"bagus dan pelayanannya cepet banget";2
"pelayananny baik";2
"pelayanan
sopan santun
mudah2 awet barangnya";2
"the best dah msi official store

terimakasih";2
"seller fast respon
barang mantab packing mantab";2
"performa yang bagus pengiriman yang cepat packing yang bagus dan diskon yang mantap hehehe";2
"mantep laptopnya keren mendarat dgn selamat terima kasih";2
"refund dana uangnya belum di kirim ke saldo dana tokopedia saya padahal dari pihak asuransi nya maks tgl 14 april di refund dana nya ini sudah tgl 15 april kenapa belum d";0
"hampir mantab batre ny parah";0
"saya merasa kecewa belanja di toko ini 

1 pada gambar ada free tas ternyata pas sy chekout di bilang tdk ad free tas

2  sy beli sabtu dengan pengiriman next day dm";0
"adminnya ganti2 terus jd harus menjelaskan berulang2 gimmick dikirim lama dari wkt pembelian";0
"admin ganti2 trrus jd hrus menjelaskan masalahnya berulang2 gimmick or mouse dikirim terpisah dan lama dr produknya";0
"informasi ttg pengiriman dan estimasi wkt penerimaan barang tidak tepat pemberi harapan palsu saya sdh pilih instant same day ternyata malah tidak bisa same day sama s";0
"mouse pad nya error ga ada solusi 

tolong bisa dibantu karena untuk kegiatan belajar gan";0
"keyboard g fungsi kabel flexible dipotong huruf byk yg hilang";0
"tidak sesuai yg diminta";0
"lu mah parah jualan ga amanah udh gw bilang jangan repack dikirimnya yg repack gw chat ga bales dewasa dong 
kalo emang repack dari awal bilang repack 
ts ga amanah";0
"hp tbtb mati penjual di chat tidak menjawab yg saya tanyakan gmna klaim garansi nya tp sama sekali nggak di jawab chat saya";0
"repacknya parah kardusnya nglups bagian atas kaya kena air trs dgosok";0
"bela belain pesan selisih 120rb tanpa gratis ongkir karna urgent eh malah d kirim kurang sudah gtu tidak ada kompensasi dan uangnya sampe skrng blum d transfer";0
"warna tidak sesuai pesanan pesan purple dikirim hitam";0
"respon penjual kurang baik tidak dapat memberikan solusi yg baik jika terdapat kendala";0
"tv nya ok delivery nya menghancurkan motor saya dan tidak bertanggung jawab saya ga mau penjual hanya diam saja penjual harus membantu selesaikan masalah ini baru say";0
"ternyata 1800 watt tapi yg dipaparkan 360 watt salah beli deh kena deh ma amrketing ny";0
"nunggu 3 minggu baru kirim barangnya penjual tidak memberi estimasi delay pengiriman di kira cuman 23 hari pass di tanya lagi udah 1 minggu belum sampai katanya 2 min";0
"speed ram tidak sesuai deskripsi";0
"kecewa banget dgn pelayanan toko ini 

1factory seal sudah jebol laptop sudah pernah di buka 

2 tidak sesuai dgn spesifikasi katanya bisa tambah ssd m2 tapi nyata";0
"saya sudah coba masukan code product key nya tapi selalu dijawab kode sudah diklaim oleh orang lain penjual tidak merespon komplain saya";0
"sudah dichat bahwa salah alamat tapi tetap dikirim ke alamat yg salah sangat tidak recommend untuk beli disini tidak amanah pokoknya gak banget beli disiniii";0
"baru co 10 menit minta cancel karna salah pilih spesifikasi tetapi tidakbisa karna katanya sudah di bawa oleh ekpedisi  nyatanya status baru berubah dipickup 2 hari kemu";0
"average 
freeze no lampled";1
"ok";1
"in syaa allah aman";1
"merknya terlalu random 
besok di test apakah berfungsi normal tidak";1
"fast respond";1
"sudah di cek sementara aman semoga tidak ada masalah";1
"in syaa allah aman";1
"ok";1
"barang diterima dengan baik adminnya juga di tanyain sangat membantu 

ada 2 hal aja yg bikin risih stiker amdmicrosoftnya miring matakuu  sama sidik jari";1
"in syaa allah aman";1
"barang tiba dengan baik packing sangat aman karena packing kayu meskipun terkendala dipengiriman lama karena pilih regular tapi tetep lama rasa kargo semoga manfaat";1
"biarkan bintang yg bicara mau apalagi coba";1
"moga gak makin langka dan mahal";1
"good";1
"barang tiba dengan baik packing sangat aman karena packing kayu meskipun terkendala dipengiriman lama karena pilih regular tapi tetep lama rasa kargo semoga manfaat";1
"tidak panas waktu pemakaian compact ringkas dibawa";1
"moga gak makin langka dan mahal";1
"bintang 3 deh descripsi beli gen 8 yang dateng gen 6 baru ngeh pas liat histori beli";1
"biarkan bintang yg bicara mau ngomong apalagi coba aja";1
"tidak panas waktu pemakaian compact ringkas dibawa";1
"in syaa allah aman";1
"barang tiba dengan baik packing sangat aman karena packing kayu meskipun terkendala dipengiriman lama karena pilih regular tapi tetep lama rasa kargo semoga manfaat";1
"barang diterima dengan baik adminnya juga di tanyain sangat membantu 

ada 2 hal aja yg bikin risih stiker amdmicrosoftnya miring matakuu  sama sidik jari";1
"ya bergitu laaaa";1
"barang diterima dengan baik adminnya juga di tanyain sangat membantu 

ada 2 hal aja yg bikin risih stiker amdmicrosoftnya miring matakuu  sama sidik jari";1
"sudah di cek sementara aman semoga tidak ada masalah";1
"barang tiba dengan baik packing sangat aman karena packing kayu meskipun terkendala dipengiriman lama karena pilih regular tapi tetep lama rasa kargo semoga manfaat";1
"produk sesuai packing rapih minus di kurir instant yg udah pick up jam 11 siang tapi hilang bikin deg2an ntah kemana tanpa alasan begitu udah ajukan complain baru bis";1
"in syaa allah aman";1
"sperti bisa udh langganan";1
"ya bergitu laaaa";1
"skibidi";1
"barang diterima dengan baik adminnya juga di tanyain sangat membantu 

ada 2 hal aja yg bikin risih stiker amdmicrosoftnya miring matakuu  sama sidik jari";1
"laptop kantoran tp punya kemampuan extra";1
"produk sesuai packing rapih minus di kurir instant yg udah pick up jam 11 siang tapi hilang bikin deg2an ntah kemana tanpa alasan begitu udah ajukan complain baru bis";1
"produk sesuai packing rapih minus di kurir instant yg udah pick up jam 11 siang tapi hilang bikin deg2an ntah kemana tanpa alasan begitu udah ajukan complain baru bis";1
"ok";1
"tidak panas waktu pemakaian compact ringkas dibawa";1
"tidak panas waktu pemakaian compact ringkas dibawa";1
"tidak panas waktu pemakaian compact ringkas dibawa";1
"tidak panas waktu pemakaian compact ringkas dibawa";1
"produk sesuai packing rapih minus di kurir instant yg udah pick up jam 11 siang tapi hilang bikin deg2an ntah kemana tanpa alasan begitu udah ajukan complain baru bis";1
"moga gak makin langka dan mahal";1
"barang tiba dengan baik packing sangat aman karena packing kayu meskipun terkendala dipengiriman lama karena pilih regular tapi tetep lama rasa kargo semoga manfaat";1
"barang diterima dengan baik adminnya juga di tanyain sangat membantu 

ada 2 hal aja yg bikin risih stiker amdmicrosoftnya miring matakuu  sama sidik jari";1
